From Date,To Date,Station Name,Latitude,Longitude,AT,NH3,NOx,O3,PM2.5,PM10,RH,WD,WS,Sin_WD,Cos_WD,Season_Monsoon,Season_Spring,Season_Summer,Season_Winter
2023-01-01 00:00:00,2023-01-01 03:00:00,Ballygunge,22.5367507,88.3638022,19.03333333333333,10.856666666666667,15.023333333333333,33.24333333333333,141.91666666666666,236.84,99.47000000000001,0.000912944869219046,0.79,0.0009129447424006113,0.9999995832658618,False,False,False,True
2023-01-01 03:00:00,2023-01-01 06:00:00,Ballygunge,22.5367507,88.3638022,18.596666666666668,9.486666666666666,14.663333333333334,35.53666666666667,126.16333333333334,215.57333333333335,99.48,0.0008428192194568456,1.47,0.0008428191196748866,0.9999996448279027,False,False,False,True
2023-01-01 06:00:00,2023-01-01 09:00:00,Ballygunge,22.5367507,88.3638022,18.843333333333334,8.533333333333333,13.839999999999998,43.18,109.79,187.74333333333334,99.46666666666665,0.0007978941443627901,1.9766666666666666,0.000797894059701561,0.9999996816824841,False,False,False,True
2023-01-01 09:00:00,2023-01-01 12:00:00,Ballygunge,22.5367507,88.3638022,21.583333333333332,9.276666666666666,13.606666666666667,56.13999999999999,106.86000000000001,180.42666666666665,94.57666666666667,0.0007894407870373992,1.7233333333333334,0.0007894407050386141,0.9999996883916381,False,False,False,True
2023-01-01 12:00:00,2023-01-01 15:00:00,Ballygunge,22.5367507,88.3638022,24.25666666666667,7.963333333333334,13.206666666666669,83.11333333333333,94.21999999999998,178.82666666666668,74.63666666666667,0.0008296872744293529,1.3499999999999999,0.0008296871792392006,0.9999996558095331,False,False,False,True
2023-01-01 15:00:00,2023-01-01 18:00:00,Ballygunge,22.5367507,88.3638022,23.040000000000003,10.536666666666667,13.956666666666669,64.26333333333334,79.88333333333334,165.9,81.02,0.0009064940892055413,1.1033333333333333,0.0009064939650564167,0.9999995891342612,False,False,False,True
2023-01-01 18:00:00,2023-01-01 21:00:00,Ballygunge,22.5367507,88.3638022,20.98,15.343333333333334,16.686666666666667,31.27,103.58999999999999,200.79,94.33,0.001308764021970816,0.46666666666666673,0.0013087636483485453,0.9999991435684896,False,False,False,True
2023-01-01 21:00:00,2023-01-02 00:00:00,Ballygunge,22.5367507,88.3638022,19.84,12.576666666666666,16.203333333333333,31.286666666666665,115.95,210.48333333333335,97.31333333333333,0.001013215510198205,1.0033333333333332,0.0010132153368360825,0.9999994866972088,False,False,False,True
2023-01-02 00:00:00,2023-01-02 03:00:00,Ballygunge,22.5367507,88.3638022,18.73,10.566666666666668,15.393333333333333,25.423333333333332,108.46666666666665,186.22,99.14,0.0012714062080464493,0.48666666666666664,0.0012714058655140176,0.9999991917632359,False,False,False,True
2023-01-02 03:00:00,2023-01-02 06:00:00,Ballygunge,22.5367507,88.3638022,18.046666666666667,11.13,15.209999999999999,17.766666666666666,96.04,164.5,99.28666666666668,0.0013653324005507873,0.4266666666666667,0.0013653319763573955,0.9999990679338628,False,False,False,True
